arm,task,density,d_degree,d_clustering,d_rwse,sum_parts,d_all,gap,ratio,max_part,ratio_max,max_share
qwen3-1.7b,node_count,0.1,0.009999999999999998,0.9299999999999999,0.3,1.24,0.6799999999999999,-0.56,0.5483870967741935,0.9299999999999999,0.7311827956989247,0.75
qwen3-1.7b,node_count,0.2,0.05,1.0,0.17,1.22,0.52,-0.7,0.42622950819672134,1.0,0.52,0.819672131147541
qwen3-1.7b,node_count,0.35,0.16999999999999998,0.72,0.27,1.16,0.6599999999999999,-0.5,0.5689655172413792,0.72,0.9166666666666666,0.6206896551724138
qwen3-1.7b,node_count,0.5,0.040000000000000036,0.040000000000000036,-0.6599999999999999,-0.5799999999999998,0.020000000000000018,0.5999999999999999,-0.034482758620689696,-0.6599999999999999,-0.030303030303030335,1.1379310344827587
qwen3-1.7b,cycle_check,0.1,-0.013513513513513487,0.012195121951219523,-0.051948051948051965,-0.05326644351034593,-0.024390243902439046,0.028876199607906883,0.4578913532626171,-0.051948051948051965,0.46951219512195147,0.9752491160398593
qwen3-1.7b,cycle_check,0.2,-0.15476190476190477,0.0,-0.05494505494505497,-0.20970695970695974,0.0,0.20970695970695974,-0.0,-0.15476190476190477,-0.0,0.7379912663755458
qwen3-1.7b,cycle_check,0.35,-0.16417910447761197,0.0,-0.1208791208791209,-0.28505822535673286,-0.011111111111111072,0.2739471142456218,0.03897839151003694,-0.16417910447761197,0.06767676767676742,0.5759493670886076
qwen3-1.7b,cycle_check,0.5,-0.17105263157894735,0.0,-0.07070707070707072,-0.24175970228601806,-0.010101010101010055,0.231658692185008,0.041781198460692504,-0.17105263157894735,0.05905205905205879,0.7075316107751511
qwen3-1.7b,edge_existence,0.1,-0.06000000000000005,-0.050000000000000044,0.030303030303030387,-0.07969696969696971,0.0,0.07969696969696971,-0.0,-0.06000000000000005,-0.0,0.7528517110266165
qwen3-1.7b,edge_existence,0.2,-0.030000000000000027,0.010000000000000009,-0.04999999999999993,-0.06999999999999995,0.08000000000000007,0.15000000000000002,-1.1428571428571446,-0.04999999999999993,-1.6000000000000036,0.7142857142857139
qwen3-1.7b,edge_existence,0.35,0.010000000000000009,0.05999999999999994,0.09999999999999998,0.16999999999999993,0.12,-0.04999999999999993,0.7058823529411767,0.09999999999999998,1.2000000000000002,0.5882352941176472
qwen3-1.7b,edge_existence,0.5,0.24,0.13,0.13,0.5,0.26,-0.24,0.52,0.24,1.0833333333333335,0.48
qwen3-1.7b,edge_existence,0.65,0.029999999999999916,-0.010000000000000009,0.019999999999999907,0.039999999999999813,0.07999999999999996,0.04000000000000015,2.0000000000000084,0.029999999999999916,2.6666666666666727,0.7500000000000014
qwen3-1.7b,edge_existence,0.75,0.05208333333333337,0.04999999999999993,0.0,0.1020833333333333,0.08999999999999997,-0.012083333333333335,0.8816326530612244,0.05208333333333337,1.7279999999999982,0.5102040816326535
qwen3-1.7b,edge_existence,0.85,0.020000000000000018,0.0,0.010000000000000009,0.030000000000000027,0.030000000000000027,0.0,1.0,0.020000000000000018,1.5,0.6666666666666666
qwen3-1.7b,node_degree,0.1,0.029999999999999916,0.020000000000000018,0.029999999999999916,0.07999999999999985,0.05999999999999994,-0.019999999999999907,0.7500000000000007,0.029999999999999916,2.0000000000000036,0.37499999999999967
